,Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Incomplete Address
0,C-001,C,Beth Israel Center,"1406 Mound St, Madison,  53711",Madison,Faith,62,3000,135835,SunVest/Solar Connections,2/23/18 0:00,43.06554444,-89.409403,FALSE
1,C-002,C,Pilgrim United Church of Christ,"535 Stow Street, Fond du Lac, WI  54935",Fond du Lac,Faith,10.5,5200,25994,Energize,4/27/18 0:00,43.78835833,-88.426097,FALSE
2,C-003,C,Liberation Park (Kevala),"17483 Kendall Ave, Norwalk 54648",Norwalk,Faith,12,6200,31020,Ethos,5/2/18 0:00,43.8439,-90.644928,FALSE
3,C-004,C,North Pointe United Methodist Church,"3825 Erie St, Racine, 53402",Racine,Faith,19.8,9881,49405,Arch,5/2/18 0:00,42.76783611,-87.786269,FALSE
4,C-005,C,Midwest Renewable Energy Association,"7558 Deer Road, Custer, WI, 54423",Custer,Adult Education,20,10000,65000,MREA - Trainers,6/29/18 0:00,44.50961667,-89.407072,FALSE
5,C-006,C,Escuela Verde (TransCenter),"3628 W Pierce St, Milwaukee, WI 53215",Milwaukee,Youth Services,20.3,10000,52374,SunVest,6/29/18 0:00,43.02379167,-87.959783,FALSE
6,C-007,C,Catholic Youth Expeditions,"3035 Obrien Rd, Baileys Harbor, WI  54202",Baileys Harbor,Youth Services,20.3,10000,54400,Eland Electric,7/25/18 0:00,45.02558611,-87.168739,FALSE
7,C-008,C,Project Home,"3841 Kipp St, Madison, 53718",Madison,Poverty alleviation,8.2,4000,24751,Convergence/Re-Volv,8/15/18 0:00,43.04251111,-89.282294,FALSE
8,C-009,C,First Congregational Church in Oshkosh,"137 Algoma Blvd, Oshkosh, 54901",Oshkosh,Faith,19.3,10000,59750,Northwind,8/22/18 0:00,44.01831111,-88.539258,FALSE
9,C-010,C,United Unitarian Universalist Church,"506 N. Washington Ave, Waukesha,  53188",Waukesha,Faith,10.1,5017,25087,Arch,8/27/18 0:00,43.01933333,-88.245331,FALSE
10,C-011,C,Friends of Camp Anokijig Inc.,"W5639 Anokijig Ln, Plymouth, WI 53073",Plymouth,Youth Services,3,2000,12529,Arch,8/30/18 0:00,43.80573611,-87.974072,FALSE
11,C-012,C,"Sinsinawa Dominicans, Inc","585 County Road Z , Sinsinawa, 53824",Sinsinawa,Faith,250,20000,410764,Eagle Point Solar,11/6/18 0:00,42.52378889,-90.541292,FALSE
12,C-013,C,Veterans Outreach of Wisconsin,"1624 Yout St, Racine, 53404",Racine,Veterans,19.8,10000,52375,Arch,11/6/18 0:00,42.74600556,-87.801425,FALSE
13,C-014,C,Heckrodt Wetland Reserve,"1305 Plank Rd., Menasha, WI 54952",Menasha,Conservation,19.6,10000,55750,Eland Electric Corporation,8/15/18 0:00,44.21042778,-88.420319,FALSE
14,C-015,C,Memorial United Church of Christ,"5705 Lacy Road, Fitchburg, WI 53711",Fitchburg,Faith,20,10000,50000,Midwest Solar Power,8/17/18 0:00,43.00072778,-89.438694,FALSE
15,C-016,C,Community Homestead Incorporated,"501 280th St, Osceola, WI 54020",Osceola,Human Services,19.2,9000,45000,Legacy Solar,10/11/18 0:00,45.28366389,-92.730667,FALSE
16,C-017,C,VFW Post 8483,"5737 County Highway CV, Madison, WI 53704",Madison,Veterans,40.3,10000,81850,Midwest Solar Power,1/4/19 0:00,43.16260278,-89.335414,FALSE
17,C-018,C,Pleasant Ridge Waldorf School,"413 E. Court Street, Viroqua, WI 54664",Viroqua,Education,10.5,5721,28605,Ethos Green Power LLC,1/28/19 0:00,43.55593056,-90.885042,FALSE
18,C-019,C,Walnut Way Conservation Corp.,"2240 N 17th St., Milwaukee, WI 53205",Milwaukee,Poverty alleviation,7.5,4500,22500,Arch Electric,3/8/19 0:00,43.059825,-87.933614,FALSE
19,C-020,C,St. Bridget's Catholic Church,"211 E. Division Street, River Falls, WI 54022",River Falls,Faith,23,10000,88912,Energy Concepts,8/29/19 0:00,44.86300833,-92.621175,FALSE
20,C-021,C,First Unitarian Society of Madison,"900 University Bay Drive, Madison, WI 53705",Madison,Faith,83,20000,169495,Full Spectrum Solar,11/25/19 0:00,43.07553889,-89.435572,FALSE
21,C-022,C,Alice's Garden,"2136 N 21st St., Milwaukee, WI 53205",Milwaukee,Food,4,9000,45000,Arch Electric,8/20/21 0:00,43.058625,-87.938225,FALSE
22,C-039,C,Attic Angel Place,8301 Old Sauk Rd.,Middleton,Housing,146.25,20000,264712.5,SunVest,8/6/19 0:00,43.07352778,-89.528606,TRUE
23,C-032,C,Bethel Horizons - Arts Center,4651 Co Rd ZZ,Dodgeville,Youth Services,23.44,10000,51461.65,WES Engineering,4/1/19 0:00,43.04569444,-90.119867,TRUE
24,C-033,C,Bethel Horizons - Prairie Center,4651 Co Rd ZZ,Dodgeville,Youth Services,22,10000,52713.5,WES Engineering,4/1/19 0:00,43.04569444,-90.119867,TRUE
25,C-044,C,Blackhawk Evangelical ,"5935 Astor Dr., Fitchburg, WI 53711",Middleton,Faith,100,20000,190000,H and H,10/18/19 0:00,43.00663056,-89.456844,FALSE
26,C-034,C,Christ Lutheran Church,237 Daley Street,Spring Green,Faith,18.36,8500,42807.68,WES Engineering,4/1/19 0:00,43.17910556,-90.065864,TRUE
27,C-038,C,Housing Authority of Milwaukee,6236 W. Birch Street,Milwaukee,Housing,3.96,3028,15140,Arch Electric,6/27/19 0:00,43.11748056,-87.989547,TRUE
28,C-024,C,Humane Society of Burnett Co,7410 County Rd D,Webster,Animal Care,19.72,8112,54080,Carlson Electric,12/21/18 0:00,45.84615833,-92.365989,TRUE
29,C-043,C,Juda School District, N2385 Spring St,Juda,School,4.5,2704,13520,Synergy ,10/3/19 0:00,42.59080833,-89.510386,TRUE
30,C-037,C,Lawton Memorial Library,118 N. Bird St.,La Farge,Library,11.2,6140,30702,Ethos Green Power,5/20/19 0:00,43.57501111,-90.637314,TRUE
31,C-036,C,Literacy Network,701 Dane Street,Madison,Adult Education,19.04,8900,44738.46,WES Engineering,5/16/19 0:00,43.04270556,-89.393572,TRUE
32,C-023,C,Madison Audobon Society,"W7480 Prairie Lane, Lake Mills, WI",Lake Mills,Conservation,7.5,4425,22125,Midwest Solar,12/12/18 0:00,43.13958611,-88.9004,TRUE
33,C-045,C,NeighborWorks Green Bay,437 S. Jackson Street,Green Bay,Housing,64.68,29624,148117,Arch Electric,11/8/19 0:00,44.50659722,-88.010489,TRUE
34,C-041,C,Northland Lutheran High School,2107 Tower Road,Kronenwetter,School,51.34,10000,145549,Carlson Electric,8/29/19 0:00,44.84485556,-89.630978,TRUE
35,C-031,C,Oregon Ice Arena,100 N Perry Pkwy,Oregon,Youth Services,190.4,20000,381000,Full Spectrum Solar,2/7/19 0:00,42.92516111,-89.373144,TRUE
36,C-047,C,"Primates, Inc","W8782 County Rd M, Westfield, WI 53964",Westfield,Animal Care,14.28,7951,38903,Convergence,10/15/20 0:00,43.93975,-89.593894,FALSE
37,C-046,C,Redeemer Lutheran,"631 N 19th St, Milwaukee, WI 53233",Milwaukee,Faith,26.18,10000,68068,SunBadger Solar,11/13/19 0:00,43.03822778,-87.936933,FALSE
38,C-025,C,SCHA - Exeland Senior Housing,946 N Washington Ave,Exeland,Housing,12.24,5826,29131.2,Carlson Electric,1/2/19 0:00,45.66982222,-91.245036,TRUE
39,C-026,C,SCHA-Gibson,5888-5890 N Gibson Ave,Stone Lake,Housing,10.88,5178,25894.4,Carlson Electric,1/2/19 0:00,45.84855278,-91.539297,TRUE
40,C-027,C,SCHA-Plainview Village,1050 and 1054 Vitcenda Lane,Exeland,Housing,21.08,9710,48552,Carlson Electric,1/2/19 0:00,45.67347778,-91.245692,TRUE
41,C-028,C,SCHA-Radmore Village,3593 N Highland Ave,Radisson,Housing,33.32,10000,81183,Carlson Electric,1/2/19 0:00,45.76653611,-91.218244,TRUE
42,C-029,C,SCHA-Vista Village,15782 Illinois Ave,Hayward,Housing,46.24,10000,110051.2,Carlson Electric,1/2/19 0:00,46.02010556,-91.482333,TRUE
43,C-030,C,SCHA-Winmore,6530 West McClaine Ave,Winter,Housing,29.24,10000,69591.2,Carlson Electric,1/2/19 0:00,45.81587778,-91.008631,TRUE
44,C-040,C,Sisters of St. Francis,3110 Nicolet Drive,Green Bay,Faith,98,20000,228900,Eland Electric,8/28/19 0:00,44.55574444,-87.907358,TRUE
45,C-048,C,Solon Springs School District,8993 E. Baldwin Ave,Solon Springs,School,99.9,20000,249000,Carlson Electric,10/15/20 0:00,46.34620278,-91.831047,TRUE
46,C-042,C,St. Dennis Congregation,505 Dempsey Rd ,Madison,Faith,23.8,10000,52273,Sunvest,9/6/19 0:00,43.0901601,-89.316276,TRUE
47,C-050,C,St. John's Lutheran Church,625 E. Netherwood Street,Oregon,Faith,29.6,10000,64995,Full Spectrum Solar,11/28/20 0:00,42.93648889,-89.372625,TRUE
48,C-049,C,Washburn Elementary School, 305 West 4th Street,Washburn,School,120,20000,236693,Eagle Point Solar,10/15/20 0:00,46.67389167,-90.897506,TRUE
49,C-035,C,Wisconsin Conference UCC,4459 Gray Road,Deforest,Faith,19.95,10000,50968,Arch Electric,5/2/19 0:00,43.22271111,-89.341186,TRUE
50,P-051,C,Milwaukee Habitat for Humanity,3726 N Booth Street,Milwaukee,Housing,53.25,11981.25,141612,Energize LLC,12/4/19 0:00,43.08460833,-87.902767,TRUE
51,P-052,C,Aspirus - Family Housing Project ,2801 Westhill Drive,Wausau ,Housing,19.53,8786.25,42000,North Wind Renewable Energy,11/7/19 0:00,44.96753333,-89.671408,TRUE
52,P-053,C,Victory Garden Initiative,249 E Concordia Ave,Milwaukee,Poverty Alleviation,8.8,3996.0000000000005,12405,Convergence Energy,1/1/20 0:00,43.07832778,-87.907908,TRUE
53,C-054,C,St. Thomas Aquinas,"602 Everglade Dr, Madison, WI 53717",Madison,Faith,24.12,10000,50148,SunVest,3/4/20 0:00,43.0845782,-89.499817,FALSE
54,P-055,C,YMCA of the Fox Cities - Camp Nan A Bo Sho,18369 Okonto Ln.,Lakewood,Youth Services,12.425,5827.5,27367,Appleton Solar,5/6/20 0:00,45.34339444,-88.440128,TRUE
55,P-056,C,"Nourish Farms, Inc.","100 Alfred Miley Ave, Sheboygan Falls, WI 53085",Sheboygan Falls,Food,9.94,4144,34000,Arch Electric,4/30/20 0:00,43.73503889,-87.804536,FALSE
56,P-057,C,Sawyer County Non Profit Housing Development (SCNPHD),10685 & 10695 Reinke Street,Hayward,Housing,67.45,24975,181000,Carlson Electric,5/13/20 0:00,46.01921944,-91.481956,TRUE
57,P-058,C,Sawyer County Non Profit Housing Development (SCNPHD),3660 & 3664 N Highland,Radisson,Housing,17.04,7992.000000000001,45800,Carlson Electric,5/13/20 0:00,45.76745556,-91.217956,TRUE
58,P-059,C,Sawyer County Non Profit Housing Development (SCNPHD),5105 and 5109 N Crawford,Winter,Housing,31.95,14985,85946,Carlson Electric,5/13/20 0:00,45.81963333,-91.008181,TRUE
59,P-060,C,University of Wisconsin-Madison Arboretum,1207 Seminole Highway,Madison,Conservation,25.16,11322,90414,SunPeak,10/20/20 0:00,43.04137778,-89.430397,TRUE
60,P-061,C,Madison Audubon Society,W7503 Kampen Rd,Arlington,Conservation,8.5,3996.0000000000005,26785,Midwest Solar,11/15/20 0:00,43.32130278,-89.373106,TRUE
61,P-063,C,Menīkānaehkem Inc.,N8866 County Rd G,Gresham,Youth Services,11.84,5328,25450,Eland Electric,4/1/20 0:00,44.85158333,-88.787006,TRUE
62,P-064,C,Zwingli United Church of Christ,1693 Washington Street,Verona,Faith,6,2830.5,15000,Eagle Point Solar,5/1/20 0:00,42.94724722,-89.656875,TRUE
63,P-065,C,CAP Services,"2900 Hoover Road, Suite A",Stevens Point,Poverty Alleviation,13.32,5994,28300,North Wind,6/1/20 0:00,44.50796944,-89.529458,TRUE
64,P-066,C,Humane Society of Jefferson County,w6127 Kiesling rd,Jefferson,Animal Shelter,62.1,12487.5,127600,WES Engineering,8/1/20 0:00,42.96984167,-88.837661,TRUE
65,P-067,C,Jackson County Animal Shelter,416 County Road R,Black River Falls,Animal Shelter,19.98,8991,46000,Solar Connection,9/1/20 0:00,44.28812778,-90.863731,TRUE
66,P-068,C,Boys & Girls Clubs of Greater La Crosse,1331 Clinton Street,La Crosse,Youth Services,75.48,24975,150000,Solar Connection,9/1/20 0:00,43.84156667,-91.238236,TRUE
67,P-069,C,Habitat for Humanity La Crosse,3181 Berlin Drive,Onalaska,Poverty Alleviation,53.28,12487.5,112900,Solar Connection,9/1/20 0:00,43.88458889,-91.166,TRUE
68,P-070,C,Camp Amnicon,8450 E Camp Amnicon Rd,South Range,Youth Services,19.24,8658,29750,Wholesale Solar,11/1/20 0:00,46.68469444,-91.867056,TRUE
69,P-071,C,"Kathy's House, Inc.",9101 W Doyne Ave,Wauwautosa,Housing,75,24975,146250,Arch Electric,12/1/20 0:00,43.03921389,-88.026028,TRUE
70,P-073,C,"Movin' Out, Inc.",951 Acewood Blvd,Madison,Housing,124,24975,203795,Full Spectrum Solar,9/1/21 0:00,43.08475833,-89.302358,TRUE
71,P-074,C,"Aptiv, Inc.",3000 South Avenue,La Crosse,Adult Education,55.5,12487.5,116000,Solar Connections,10/8/20 0:00,43.78385278,-91.232483,TRUE
72,P-076,C,Covenant Lutheran Church,1525 N Van Buren St,Stoughton,Faith,85,24975,166500,Synergy Renewables,11/10/20 0:00,42.93205556,-89.230308,TRUE
73,P-077,C,Dodge County Housing Authority,905 Division St.,Horicon,Housing,104.2,24975,266859,Midwest Solar,,43.44433056,-88.620622,TRUE
74,P-078,C,Grace Congregational United Church of Christ,2801 Garfield Street,Two Rivers,Faith,20,11155.5,83749,Arch Electric,11/13/20 0:00,44.15969444,-87.556503,TRUE
75,P-079,C,Green Bay Area Public Schools Education Foundation (on behalf of Aldo Leopold Community School),622 Eliza St,Green Bay,School,13.69,6160.500000000001,16100,Eland Electric,6/1/21 0:00,44.49993611,-88.018114,TRUE
76,P-080,C,Lutheran Church of the Living Christ,110 N Gammon Road,Madison,Faith,49.21,12487.5,63825,SunBadger Solar,3/1/21 0:00,43.06990278,-89.503753,TRUE
77,P-081,C,Social Development Foundation,1730 W. North Avenue,Milwaukee,Poverty alleviation,111,24975,210350,Convergence Energy,12/13/20 0:00,43.06076944,-87.934475,TRUE
78,P-082,C,Washington County Humane Society,3650 WI-60 Trunk,Slinger,Animal Shelter,49.6,12487.5,103068.8,Current Electric,10/30/20 0:00,43.32545556,-88.219186,TRUE
79,C-090,C,"The BRICK Ministries, Inc.",420 Ellis Avenue,Ashland,Poverty alleviation,11.375,6399,31991,Jolma Electric,2/23/21 0:00,46.58939444,-90.880811,TRUE
80,C-092,C,"Friends of the Albertson Memorial Library, Inc.",200 North Water St,Albany,Library,28.8,10000,53750,Full Spectrum Solar,5/24/21 0:00,42.70940833,-89.438644,TRUE
81,C-093,C,Ezekiel Lutheran Church,202 S 2nd St,River Falls,Faith,51.6,10000,124127,Energy Concepts,10/1/21 0:00,44.85675556,-92.624703,TRUE
82,P-083,C,Friends of the Sauk County Fairgrounds,PO Box 303,Baraboo,Community Facility,19.24,8658,40398,All Sky Energy,5/1/21 0:00,43.47197222,-89.723322,FALSE
83,P-086,C,Plymouth Congregational UCC,2401 Atwood Ave,Madison,Faith,17.02,7659,41833,Arch Electric,11/1/21 0:00,43.09356389,-89.346633,TRUE
84,P-087,C,Just One More Ministry,4180 N Lydell Street,Glendale,Poverty alleviation,28.86,12487.5,53336,Arch Electric,4/1/21 0:00,43.09373611,-87.909117,TRUE
85,P-089,C,"Couleecap, Inc.",201 Melby Street,Westby,Poverty alleviation,63,12487.5,94958,Ethos Green Power,11/1/21 0:00,43.65414722,-90.858317,TRUE
86,P-091,C,Community Clothes Closet,1465B Opportunity Way,Menasha,Poverty alleviation,24.42,10989,40410,Eland Electric,12/1/21 0:00,44.22746389,-88.415028,TRUE
87,P-094,C,All Saints Lutheran Church,2951 Chapel Valley Road ,Fitchburg,Faith,20.7,9324,45420,Midwest Solar Power,6/1/21 0:00,43.01501944,-89.432764,TRUE
88,P-095,C,Milwaukee Habitat for Humanity ReStore,4150 S 108th St,Greenfield,Poverty alleviation,49.95,12487.5,139833,Energize,12/1/21 0:00,42.96863611,-88.046931,TRUE
89,P-096,C,"Habitat for Humanity of Dane County, Inc",3101 Latham Drive,Madison,Poverty alleviation,30,12487.5,51000,Madison Solar Consulting,7/21/21 0:00,43.03030833,-89.402597,TRUE
90,P-097,C,Walnut Way Conservation Corps,2240 North 17th Street,Milwaukee,Human Services,10,4662,51000,Arch Electric,2/15/22 0:00,43.059825,-87.933614,TRUE
91,P-098,C,Boys & Girls Club of Dane County,"4619 Jenewein Rd, Fitchburg, Wl 53711.",Fitchburg,Youth Services,85.8,24975,176500,WES Engineering,11/1/21 0:00,43.02846667,-89.457783,TRUE
92,P-099,C,Yerkes Future Foundation,373 W Geneva St,Williams Bay,Community Facility,60,12487.5,165000,Adams Electric,12/1/21 0:00,42.57035278,-88.556272,TRUE
93,C-100,C,North Central Conservancy Trust,301 W. Cedar Street,Stevens Point,Conservation,3.4,2676,13380,North Wind,6/7/21 0:00,44.486625,-89.553944,TRUE
94,C-101,C,American Birkebeiner,PO Box 911,Hayward,Athletics,6.12,4325,21624.4,Tru North Solar,10/1/21 0:00,46.0131,-91.4832,FALSE
95,C-102,C,First Congregational Church-United Church of Christ,311 2nd St.,Wisconsin Rapids,Faith,42.5,5000,104700,North Wind,11/17/21 0:00,44.38996667,-89.825442,TRUE
